"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.51,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.35,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",27.13,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",16.57,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.47,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",20,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",24.61,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",18.25,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",55.07,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",20250.99,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",26.32,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",16.44,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",25.13,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",23.48,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",15.89,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",13.03,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",13646.7,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",46.96,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",34.9,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",36.3,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",18.24,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",17.67,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",13.74,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",49.97,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.8,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.71,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.27,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",51.47,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",59.94,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.28,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.29,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",26.62,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",16.72,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",25.26,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",22.41,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",14.83,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",8.78,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",62.37,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",14045.7,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",36.83,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",27.24,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",28.66,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",21.83,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",13.38,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",7.96,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",55.84,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",15398.09,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",54.9,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",42.33,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",40.1,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",11.72,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",13.45,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",8.33,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",51.67,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.96,"provisorisch"
"2023-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.66,"provisorisch"
"2023-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.66,"provisorisch"
"2023-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",57.65,"provisorisch"
"2023-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",66.39,"provisorisch"
"2023-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.06,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.22,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",18.24,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.5,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.43,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",39.88,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",6.52,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.51,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",70.39,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",12961.28,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",32.74,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",15.67,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",38.59,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",34.87,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",6.64,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",4.67,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",59.59,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",15752.2,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",33.54,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",15.98,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",39.64,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",30.04,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.58,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",5.25,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",60.26,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-03T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.77,"provisorisch"
